omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
0.7599999999999998,-0.537401154078296,0.670800397396088,1,rocking_return,-0.537401153701776,3.7652003737065343e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.7799999999999994,-0.5515432902817443,0.705592501163483,1,rocking_return,-0.5515432893255067,9.56237644622604e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.8000000000000007,-0.5656854256068715,0.7436941361427312,1,rocking_return,-0.5656854249492386,6.576329480978416e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.8200000000000003,-0.579827561675055,0.785920739769936,1,rocking_return,-0.5798275605729692,1.102085755988469e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.8399999999999999,-0.5939696964152793,0.833425788879395,1,rocking_return,-0.5939696961966998,2.1857948784287373e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.8599999999999994,-0.60811183257316,0.8879183006286626,1,rocking_return,-0.6081118318204305,7.527295453613192e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.8800000000000008,-0.6222539680897734,0.9520893448591239,1,rocking_return,-0.6222539674441624,6.456110090979905e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9000000000000004,-0.6363961038940507,1.0305473142862327,1,rocking_return,-0.6363961030678931,8.261575867862803e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9199999999999999,-0.6505382389524105,1.1322256231307992,1,rocking_return,-0.6505382386916237,2.6078672554774585e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9399999999999995,-0.6646803743507578,1.2783886861801157,1,rocking_return,-0.6646803743153543,3.540345794306177e-11,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9600000000000009,-0.6788225106166633,1.5470750647783291,1,rocking_return,-0.6788225099390863,6.775769945122079e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9753168743931118,-0.6896531760399464,3.1578886306285625,1,rocking_return,-0.6896531756890376,3.5090874650478554e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9754168743931118,nan,nan,0,upright_asymptote,nan,nan,unresolved,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.9755168743931117,1.0372251447598124,3.290671589374516,1,downhill_step,1.037225145586679,8.268665752098059e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
