theta_index,theta_dot_index,theta0,theta_dot0,classification,final_time,final_theta,final_theta_dot,total_impacts,downhill_impacts,uphill_impacts,rolling_speed,gamma,alpha,gravity,length,mass,num_spokes
0,107,-0.13269908169872413,1.0125000000000002,rolling,6.619999999999903,-0.11461456369205035,1.9536285586649547,17,17,0,1.9647448705012265,0.26,0.39269908169872414,9.81,1,1,8
0,108,-0.13269908169872413,1.0499999999999998,rolling,6.589999999999904,-0.12828893408950323,1.9619299845143419,17,17,0,1.9647464468541695,0.26,0.39269908169872414,9.81,1,1,8
0,109,-0.13269908169872413,1.0874999999999995,rolling,6.569999999999904,-0.12443644002746244,1.9595009661671063,17,17,0,1.9647480825128412,0.26,0.39269908169872414,9.81,1,1,8
0,110,-0.13269908169872413,1.125,rolling,6.549999999999905,-0.12241505379060542,1.9582548539073794,17,17,0,1.96474977268017,0.26,0.39269908169872414,9.81,1,1,8
0,111,-0.13269908169872413,1.1624999999999996,rolling,6.529999999999905,-0.1220280361447407,1.958018634307046,17,17,0,1.9647515227034444,0.26,0.39269908169872414,9.81,1,1,8
0,112,-0.13269908169872413,1.2000000000000002,rolling,6.509999999999906,-0.12311082989695425,1.9586819665153137,17,17,0,1.964753328059824,0.26,0.39269908169872414,9.81,1,1,8
0,113,-0.13269908169872413,1.2374999999999998,rolling,6.489999999999906,-0.12552464230335156,1.9601806422365684,17,17,0,1.9647551919270028,0.26,0.39269908169872414,9.81,1,1,8
0,114,-0.13269908169872413,1.2749999999999995,rolling,6.4699999999999065,-0.12915163119485273,1.9624846434069732,17,17,0,1.9647571127985113,0.26,0.39269908169872414,9.81,1,1,8
0,115,-0.13269908169872413,1.3125,rolling,6.459999999999907,-0.11429762831961512,1.953448155094888,17,17,0,1.9647590901932672,0.26,0.39269908169872414,9.81,1,1,8
0,116,-0.13269908169872413,1.3499999999999996,rolling,6.439999999999907,-0.12002727372510215,1.9568089388141494,17,17,0,1.9647611254931254,0.26,0.39269908169872414,9.81,1,1,8
0,117,-0.13269908169872413,1.3875000000000002,rolling,6.419999999999908,-0.12670141780281707,1.9609220244497276,17,17,0,1.9647632189991429,0.26,0.39269908169872414,9.81,1,1,8
0,118,-0.13269908169872413,1.4249999999999998,rolling,6.409999999999908,-0.11466019609990176,1.95365673061676,17,17,0,1.9647653685818494,0.26,0.39269908169872414,9.81,1,1,8
0,119,-0.13269908169872413,1.4624999999999995,rolling,6.389999999999908,-0.12298665281288623,1.9586069896842158,17,17,0,1.9647675755910934,0.26,0.39269908169872414,9.81,1,1,8
0,120,-0.13269908169872413,1.5,rolling,6.369999999999909,-0.13208238655094248,1.9643930506908178,17,17,0,1.9647698417692212,0.26,0.39269908169872414,9.81,1,1,8
0,121,-0.13269908169872413,1.5374999999999996,rolling,5.989999999999917,-0.1322817799754011,1.964521601109939,16,16,0,1.9647416537114453,0.26,0.39269908169872414,9.81,1,1,8
0,122,-0.13269908169872413,1.5750000000000002,rolling,5.979999999999917,-0.12311207062457546,1.9586820699318592,16,16,0,1.9647464136779844,0.26,0.39269908169872414,9.81,1,1,8
0,123,-0.13269908169872413,1.6124999999999998,rolling,5.969999999999917,-0.1145788933529422,1.953608691552776,16,16,0,1.9647512869697161,0.26,0.39269908169872414,9.81,1,1,8
0,124,-0.13269908169872413,1.6499999999999995,rolling,5.949999999999918,-0.12618755490888647,1.9605971461616276,16,16,0,1.9647562747477652,0.26,0.39269908169872414,9.81,1,1,8
0,125,-0.13269908169872413,1.6875,rolling,5.939999999999918,-0.1187639114282076,1.9560544115962593,16,16,0,1.9647613770724288,0.26,0.39269908169872414,9.81,1,1,8
0,126,-0.13269908169872413,1.7249999999999996,rolling,5.919999999999918,-0.13144768358561104,1.963976255919999,16,16,0,1.9647665959578084,0.26,0.39269908169872414,9.81,1,1,8
0,127,-0.13269908169872413,1.7625000000000002,rolling,5.549999999999926,-0.1154413210398317,1.9541046330994458,15,15,0,1.9647411827484984,0.26,0.39269908169872414,9.81,1,1,8
0,128,-0.13269908169872413,1.7999999999999998,rolling,5.5299999999999265,-0.1290630577511345,1.9624271589439317,15,15,0,1.9647520776340184,0.26,0.39269908169872414,9.81,1,1,8
0,129,-0.13269908169872413,1.8374999999999995,rolling,5.519999999999927,-0.12353562681619382,1.9589446090308085,15,15,0,1.9647632013931642,0.26,0.39269908169872414,9.81,1,1,8
0,130,-0.13269908169872413,1.875,rolling,5.139999999999935,-0.12844445673141988,1.9620295287926168,14,14,0,1.9647464340600271,0.26,0.39269908169872414,9.81,1,1,8
0,131,-0.13269908169872413,1.9124999999999996,rolling,5.129999999999935,-0.1237381545351465,1.959070290093506,14,14,0,1.9647695985323754,0.26,0.39269908169872414,9.81,1,1,8
0,132,-0.13269908169872413,1.9500000000000002,rolling,4.389999999999951,-0.11984930771796946,1.9567025418728268,12,12,0,1.964764868886325,0.26,0.39269908169872414,9.81,1,1,8
0,133,-0.13269908169872413,1.9874999999999998,rolling,4.379999999999951,-0.11590697418126893,1.9543859104902872,12,12,0,1.9648611916153327,0.26,0.39269908169872414,9.81,1,1,8
